id,tituloPincipal,tituloOriginal,anoLancamento,tempoMinutos,genero,notaMedia,numeroVotos,generoArtista,personagem,nomeArtista,anoNascimento,anoFalecimento,profissao,titulosMaisConhecidos
tt0485947,Mr. Nobody,Mr. Nobody,2009,141,"Drama,Fantasy,Romance",7.8,234569,actress,Adult Elise,Sarah Polley,1979,\N,"actress,director,writer","tt0314412,tt0139239,tt0363547,tt0120255"
tt0486576,Fantastic Four: Rise of the Silver Surfer,4: Rise of the Silver Surfer,2007,92,"Action,Adventure,Fantasy",5.6,267098,actor,Mr. FantasticReed Richards,Ioan Gruffudd,1973,\N,"actor,soundtrack,director","tt0120667,tt0349683,tt0881320,tt0486576"
tt0486583,Fred Claus,Fred Claus,2007,116,"Comedy,Family,Fantasy",5.6,44390,actor,Nick 'Santa' Claus,Paul Giamatti,1967,\N,"actor,producer,soundtrack","tt0352248,tt2024544,tt0375063,tt0305206"
tt0486609,Kriegerherzen,Kriegerherzen,2005,156,Fantasy,7.5,16,actor,Frater Craig,Thomas Goersch,1966,\N,"actor,writer,casting_director","tt15576850,tt7160978,tt1754412,tt13311112"
tt0486617,The Horror of H.P. Lovecraft,LovecraCked! The Movie,2006,84,"Comedy,Fantasy,Horror",3.9,205,actor,Journalist,Elias,1975,\N,"sound_department,director,actor","tt1506459,tt0438566,tt4044896,tt1395035"
tt0486655,Stardust,Stardust,2007,127,"Adventure,Family,Fantasy",7.6,273723,actor,Tristan Thorn,Charlie Cox,1982,\N,actor,"tt2980516,tt3322312,tt0486655,tt10872600"
tt0487011,Anandabhadram,Anandabhadram,2005,130,"Drama,Fantasy,Horror",7.2,1017,actor,Chemban,Kalabhavan Mani,1971,2016,"actor,music_department,soundtrack","tt0400585,tt0228808,tt3887074,tt1305797"
tt0487584,"Electrika kasi, eh!","Electrika kasi, eh!",1977,\N,"Action,Fantasy",8.2,8,actress,Egyptian Witch,Celia Rodriguez,\N,\N,actress,"tt0125025,tt0242764,tt0359604,tt0353691"
tt0487724,Pardina at ang mga duwende,Pardina at ang mga duwende,1989,\N,"Comedy,Family,Fantasy",8.2,19,actor,Felino,Ian Veneracion,1975,\N,"actor,soundtrack","tt5755634,tt10044182,tt0781865,tt0410945"
tt0487897,Dreamer,Dreamer,2005,98,Fantasy,7.1,334,actor,\N,Scott Satenspiel,\N,\N,actor,"tt8637302,tt0487897,tt0338177,tt0315354"
tt0488049,"Ispiritista: Itay, may moomoo","Ispiritista: Itay, may moomoo",2005,\N,"Comedy,Fantasy,Horror",5.6,39,actress,Linda,Iza Calzado,1982,\N,"actress,producer","tt6608136,tt0423195,tt1210341,tt2118570"
tt0488338,The Tiger Blade,Seua khaap daap,2005,91,"Action,Comedy,Fantasy",4.4,449,actress,Deungdao,Phimonrat Phisarayabud,\N,\N,actress,"tt3665704,tt0488338"
tt0488712,The Big One,The Big One,2005,60,Fantasy,6.8,17,actress,Anna,Yangzom Brauen,1981,\N,"director,actress,producer","tt0402022,tt2580888,tt4793376,tt3721530"
tt0488962,Big Bad Wolf,Big Bad Wolf,2006,95,"Action,Comedy,Fantasy",5.2,2685,actress,Sam Marche,Kimberly J. Brown,1984,\N,"actress,producer,miscellaneous","tt0377471,tt0161023,tt0173886,tt0305669"
tt0489210,Little Hercules in 3-D,Little Hercules in 3-D,2009,92,"Adventure,Family,Fantasy",2.1,573,actress,Dana,Robin Givens,1964,\N,"actress,director,soundtrack","tt0109288,tt14128670,tt5478918,tt0103859"
tt0489235,My Name Is Bruce,My Name Is Bruce,2007,84,"Comedy,Fantasy,Horror",6.2,24662,actor,Jeff,Taylor Sharpe,\N,\N,actor,"tt21993886,tt0489235"
